"Save and Continue Edit","Save and Continue Edit"
"Blacklist Item Information","Blacklist Item Information"
General,General
Email,Email
"Blacklist View","Blacklist View"
"Current Time","Current Time"
"No cron jobs found","No cron jobs found"
"Learn more","Learn more"
"Cron (Last 5)","Cron (Last 5)"
"Queue Item Information","Queue Item Information"
Subject,Subject
Body,Body
Coupon,Coupon
"Queue View","Queue View"
Website:,Website:
"Date Range:","Date Range:"
From:,From:
To:,To:
Refresh,Refresh
"All Websites","All Websites"
"Cart Abandonment Rate","Cart Abandonment Rate"
"Emails Sent","Emails Sent"
"Carts Restored","Carts Restored"
"Orders Placed*","Orders Placed*"
"Potential Revenue","Potential Revenue"
"Recovered Revenue*","Recovered Revenue*"
"Abandoned Cart Email Efficiency","Abandoned Cart Email Efficiency"
"Rule Information","Rule Information"
Analytics,Analytics
"Google Analytics","Google Analytics"
"Campaign Source","Campaign Source"
"<b>Required.</b> Use <b>utm_source</b> to identify a search engine, newsletter name, or other source.<br/><i>Example:</i> utm_source=google","<b>Required.</b> Use <b>utm_source</b> to identify a search engine, newsletter name, or other source.<br/><i>Example:</i> utm_source=google"
"Campaign Medium","Campaign Medium"
"<b>Required.</b> Use <b>utm_medium</b> to identify a medium such as email or cost-per- click<br/><i>Example:</i> utm_medium=cpc","<b>Required.</b> Use <b>utm_medium</b> to identify a medium such as email or cost-per- click<br/><i>Example:</i> utm_medium=cpc"
"Campaign Name","Campaign Name"
"<b>Required.</b> Used for keyword analysis. Use <b>utm_campaign</b> to identify a specific product promotion or strategic campaign.<br/><i>Example:</i> utm_campaign=spring_sale","<b>Required.</b> Used for keyword analysis. Use <b>utm_campaign</b> to identify a specific product promotion or strategic campaign.<br/><i>Example:</i> utm_campaign=spring_sale"
"Campaign Term","Campaign Term"
"Used for paid search. Use <b>utm_term</b> to note the keywords for this ad.<br/><i>Example:</i> utm_term=running+shoes","Used for paid search. Use <b>utm_term</b> to note the keywords for this ad.<br/><i>Example:</i> utm_term=running+shoes"
"Campaign Content","Campaign Content"
